,Varname,House,Date,Topic,Subcode,L1,L2,L3,L4,C2,C3,C4,C5,Other,Index,Source,N,Totcheck,Agenda1,Agenda2,Scope,raceoutcome,racespenddo,raceaa,aidtoblacks,EqualOpp,Added,date,f_date,period,value,IMMKEPT,IMMLEGAL,CNNIMM,PSRAIMM,SPIMMIG,IMMRATE,mood,tone,pro,anti,stories,prev_mood,mood_diff,pro_max,anti_max,dom_pro,dom_anti,surge_pro_abs,surge_pro,surge_anti_abs,surge_anti,tone_surge,tone_surge_abs,tone_max_diff,tone_dom_diff,surge_diff,surge_diff_abs
21,IMMKEPT,GALLUP,3/26/01,120,124,10.0,41.0,0.0,0.0,0.0,0.0,0.0,43.0,6,54.26,USGALLUP.01MC026.R06,1024,100.0,530,0,0,0,0,0,0,0,0,2001-03-26,2001.23013699,480,0.5426,1,0,0,0,0,0,0.5426,0.32083729222,0.585056000795,0.264218708576,205.0,0.500786362987,0.041813637013,0.105631205512,0.0730789040683,0.0181740490925,0.0305792144018,3.47139306853,0.0205630663584,2.72425548085,0.0224304749231,-0.0449723807268,-22.754295948,0.0325523014432,-0.0124051653092,-0.00186740856468,0.747137587684
22,IMMKEPT,GALLUP,6/11/01,120,124,14.0,42.0,,,,,,41.0,3,57.73,USGALLUP.071801.R01,1004,100.0,530,0,0,0,0,0,0,0,0,2001-06-11,2001.44109589,491,0.5773,1,0,0,0,0,0,0.5773,0.387310689374,0.622692150199,0.235381460826,281.0,0.493592202087,0.0837077979134,0.106267820888,0.0562226814586,0.00418539843507,0.0163779977066,9.52986060997,0.00146680511716,4.54021082141,0.00553465636589,0.0287325601417,39.270146643,0.0500451394292,-0.0121925992716,-0.00406785124873,4.98964978856
49,IMMLEGAL,CBSNYT,9/13/01,120,124,10.0,29.0,0.0,0.0,0.0,0.0,0.0,53.0,8,42.39,USCBSNYT.091501.R31,959,100.0,530,0,0,0,0,0,0,0,0,2001-09-13,2001.69863014,504,0.4239,0,1,0,0,0,0,0.428369850229,0.25903748469,0.533660999643,0.274623514953,339.0,0.485751096836,-0.0573812466069,0.0784628235116,0.0453531259446,0.010959409917,0.00159305432477,13.6315360183,0.0366110254281,4.48925662603,0.0116732768377,-0.106579843855,-20.774639268,0.033109697567,0.00936635559219,0.0249377485904,9.1422793923
50,IMMLEGAL,CBSNYT,9/20/01,120,124,11.0,29.0,0.0,0.0,0.0,0.0,0.0,57.0,3,41.24,USCBSNYT.092401.R51,1216,100.0,530,0,0,0,0,0,0,0,0,2001-09-20,2001.71780822,505,0.4124,0,1,0,0,0,0,0.416869850229,0.203798284669,0.509789343183,0.305991058514,350.0,0.485205781135,-0.0683359309058,0.0735179718912,0.0538315187485,0.00733946215014,0.00537808618564,10.0403432698,0.0225689738006,15.3665873247,0.0418918478301,-0.154265088696,-32.867042015,0.0196864531427,0.0019613759645,-0.0193228740295,-5.32624405491
23,IMMKEPT,GALLUP,10/19/01,120,124,8.0,30.0,0.0,0.0,0.0,0.0,0.0,58.0,4,39.58,USGALLUP.01OC19.R03,1006,100.0,530,0,0,0,0,0,0,0,0,2001-10-19,2001.79726027,509,0.3958,1,0,0,0,0,0,0.3958,0.0709186460254,0.449813598777,0.378894952752,355.0,0.483131260612,-0.087331260612,0.0641435924206,0.132147717078,0.00256941496684,0.0845773745506,17.953358324,0.0493656262079,42.903525164,0.119850433646,-0.24200333207,-76.83644552,-0.0680041246572,-0.0820079595838,-0.0704848074385,-24.95016684
51,IMMLEGAL,CBSNYT,12/7/01,120,124,9.0,29.0,0.0,0.0,0.0,0.0,0.0,59.0,3,39.18,USCBSNYT.121101.R14,1052,100.0,530,0,0,0,0,0,0,0,0,2001-12-07,2001.93150685,516,0.3918,0,1,0,0,0,0,0.396269850229,-0.0239075748479,0.414844743679,0.438752318527,355.0,0.479960381171,-0.0836905309421,0.0744186052597,0.142118513877,0.0158931622259,0.0647020894348,7.28342964215,0.0199024365274,12.4318915506,0.034536255991,-0.121944804831,-42.898256795,-0.0676999086171,-0.0488089272089,-0.0146338194636,-5.14846190844
24,IMMKEPT,GALLUP,6/3/02,120,124,12.0,36.0,,,,,,49.0,3,49.48,USGALLUP.02JN03.R32,1360,100.0,530,0,0,0,0,0,0,0,0,2002-06-03,2002.41917808,542,0.4948,1,0,0,0,0,0,0.4948,0.0550518377298,0.444637903123,0.389586065393,285.0,0.474213176722,0.0205868232775,0.074325625176,0.0834284479395,0.00659371748216,0.0223654948194,5.1038336209,0.0242353773434,1.42818538424,0.00694037591623,0.0199688026582,4.428119495,-0.00910282276351,-0.0157717773372,0.0172950014272,3.67564823666
72,PSRAIMM,PSRA,7/2/02,120,124,5.0,12.0,0.0,0.0,0.0,0.0,31.0,49.0,3,17.53,USPSRA.03VALMER02.Q10N,2502,100.0,530,0,0,0,0,0,0,0,0,2002-07-02,2002.49863014,546,0.1753,0,0,0,1,0,0,0.445340061521,0.0575068479532,0.45356699223,0.396060144277,278.0,0.474186531269,-0.0288464697482,0.0817344228529,0.0948519474666,0.00781179562017,0.0208601939782,2.83750760708,0.0199196310022,3.23627404857,0.0243258275058,0.00158200999592,-2.356443119,-0.0131175246138,-0.013048398358,-0.00440619650362,-0.398766441491
73,PSRAIMM,PSRA,8/19/02,120,124,4.0,12.0,0.0,0.0,0.0,0.0,35.0,46.0,2,16.49,USPSRA.060303B.R37I,1501,99.0,530,0,0,0,0,0,0,0,0,2002-08-19,2002.63013699,553,0.1649,0,0,0,1,0,0,0.434940061521,0.136720865237,0.496135772148,0.359414906911,257.0,0.474627716582,-0.0396876550613,0.0771322432524,0.0868739886823,0.0118367131165,0.0186045215843,3.40683068514,0.0184348040274,1.90661993973,0.0157241797916,0.0994059280353,24.427875389,-0.00974174542991,-0.0067678084678,0.00271062423575,1.50021074541
25,IMMKEPT,GALLUP,9/2/02,120,124,17.0,26.0,0.0,0.0,0.0,0.0,0.0,54.0,3,44.33,USGALLUP.02SP02.R16,1003,100.0,530,0,0,0,0,0,0,0,0,2002-09-02,2002.66849315,555,0.4433,1,0,0,0,0,0,0.4433,0.155656451881,0.502676543581,0.347020091699,236.0,0.474858282323,-0.0315582823233,0.0878344226525,0.0729194802477,0.0176410063492,0.014032508798,0.73519755338,0.00430227740276,1.22863569937,0.00737115549918,0.0905042644674,18.94837548,0.0149149424048,0.00360849755121,-0.00306887809642,-0.493438145989
